ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
095-39-6132|30445203027694|Sierra|Ford|F|824 Jacob Stream|Fort Lee|NJ|07024|40.8503|-73.9745|35353|Medical laboratory scientific officer|1979-04-17|943532168053|adults_2550_female_urban.json
177-93-1501|4402936340941211|Samantha|Santana|F|257 Aguilar Circle Apt. 479|Phoenix|AZ|85008|33.4665|-111.9984|1312922|Forensic psychologist|1971-03-26|146409167188|adults_50up_female_urban.json
243-20-5324|4018911343485713390|Randall|Hanson|M|6861 Tristan Highway|Heflin|LA|71039|32.447|-93.2852|1934|Conservation officer, historic buildings|1968-04-20|842311696859|adults_50up_male_rural.json
155-04-2711|3538130149480295|Kelly|Guzman|F|664 Moore Crescent|Carlsbad|CA|92009|33.0954|-117.2619|105183|Teacher, primary school|1963-12-18|743491877514|adults_50up_female_urban.json
890-76-0592|213113356831721|David|Jordan|M|0417 Alexander Shoal Apt. 891|Kalispell|MT|59901|48.2028|-114.3039|49693|Water engineer|1991-08-03|975452148097|adults_2550_male_urban.json
813-98-7851|4501332034495607146|Steven|Wells|M|0775 Michael Wall Suite 231|Baytown|TX|77520|29.7461|-94.9653|103027|Multimedia programmer|1957-03-22|823585330629|adults_50up_male_urban.json
121-51-0428|4811057039964|Shannon|Harris|F|7005 Powell Ranch Suite 693|Boyds|MD|20841|39.21|-77.3167|10460|Copywriter, advertising|1968-02-09|846051927830|adults_50up_female_urban.json
224-89-7557|501871580095|Kathleen|Gentry|F|086 John Forge Suite 306|Milwaukee|WI|53206|43.0753|-87.9347|817312|Leisure centre manager|1968-06-06|587936150536|adults_50up_female_urban.json
301-37-8876|3592375909722856|Thomas|Roberson|M|585 Kelly Ways|Orland Park|IL|60462|41.6194|-87.8422|64769|Clinical scientist, histocompatibility and immunogenetics|1985-09-13|679513531631|adults_2550_male_urban.json
590-54-0393|4823678838732|James|Hart|M|38004 Robert Mill|Plano|TX|75093|33.0299|-96.7889|278067|Medical physicist|1964-11-21|341530996875|adults_50up_male_urban.json
432-36-8475|6541637120631751|Haley|Jackson|F|6014 Palmer Avenue Apt. 144|Phoenix|AZ|85029|33.5961|-112.1199|1312922|Cartographer|1972-01-23|482624922969|adults_50up_female_urban.json
558-15-5106|3561168611460361|Angela|Black|F|0555 Gray Keys|Rockaway|NJ|07866|40.9229|-74.5094|22098|Further education lecturer|1971-01-24|812502370708|adults_50up_female_urban.json
513-32-6223|180037714034455|Diana|Morgan|F|660 Jerry Avenue Apt. 196|Saginaw|MI|48601|43.4047|-83.9156|135669|Copywriter, advertising|1997-07-20|546114488021|adults_2550_female_urban.json
226-67-6168|3542173683850956|Ryan|Mccoy|M|340 Richard Lake|New York City|NY|10032|40.8382|-73.942|1577385|Amenity horticulturist|1950-02-05|126888777753|adults_50up_male_urban.json
194-53-4254|564848437708|Alexis|Fisher|F|595 Kevin Falls Suite 449|Temple|TX|76504|31.0917|-97.3648|72710|Naval architect|2003-05-15|633197350883|young_adults_female_urban.json
301-18-1386|3556275280016171|Daniel|Torres|M|592 Lawrence Crest Suite 383|Reno|NV|89502|39.4972|-119.7764|276896|Designer, textile|1963-03-16|306757570560|adults_50up_male_urban.json
621-63-1493|4017078129457619|Oscar|Allen|M|484 Holly Walk Suite 235|Fresno|CA|93704|36.7991|-119.8016|570271|Make|1973-07-02|166532496728|adults_50up_male_urban.json
207-82-3495|30287567981300|Tamara|Perry|F|4771 Matthew Points Apt. 187|San Bernardino|CA|92405|34.1446|-117.3013|236660|Applications developer|1960-06-08|977857262262|adults_50up_female_urban.json
810-77-4549|5179116114644618|Walter|Kidd|M|97542 Marks Overpass|Bronx|NY|10467|40.8737|-73.8712|1382480|Engineer, petroleum|1990-10-01|807280417953|adults_2550_male_urban.json
529-70-5513|3537748770078814|Mackenzie|Peterson|F|1218 Andrea Estates|Rio Rancho|NM|87144|35.324|-106.7099|89123|Diagnostic radiographer|1980-10-24|530025502630|adults_2550_female_urban.json
600-08-6703|4602865383957164|Eric|Chang|M|00370 Sergio Valleys|The Colony|TX|75056|33.094|-96.8836|47852|Financial trader|1960-06-15|573324095394|adults_50up_male_urban.json
541-81-8391|3569320709834849|Kirk|Chambers|M|4876 Christina Key Apt. 744|Fort Myers|FL|33967|26.4722|-81.8122|224256|Librarian, public|1970-01-25|349588723864|adults_50up_male_urban.json
137-55-7716|6541982817947791|Gregory|Villarreal|M|45220 Samuel Fall|Lutz|FL|33558|28.1474|-82.5152|57430|Occupational psychologist|1981-01-10|249008015764|adults_2550_male_urban.json
222-17-6373|4525733090740634|Frances|Reynolds|F|24767 Martinez Junctions Apt. 799|Moorpark|CA|93021|34.2784|-118.8771|36422|Agricultural consultant|1999-12-26|790539620900|young_adults_female_urban.json
861-27-6545|3593327633422856|Michael|Moore|M|2372 Matthew Prairie|Fort Worth|TX|76179|32.9074|-97.4257|813980|Engineer, maintenance (IT)|1979-03-09|39092822848|adults_2550_male_urban.json
830-30-7726|3508942340370430|Corey|Eaton|M|188 Amanda Lakes|Dallas|GA|30157|33.9045|-84.8621|79338|Oceanographer|1997-12-06|844539250707|adults_2550_male_urban.json
131-47-7977|213147371985179|Travis|Duncan|M|064 Richard Knolls Suite 421|Moorhead|MN|56560|46.8677|-96.7572|40766|Mental health nurse|1968-10-22|732246687668|adults_50up_male_urban.json
553-29-7596|3564053273968850|Lisa|Baker|F|839 Jeffrey Motorway|Tacoma|WA|98405|47.2484|-122.4644|323239|Visual merchandiser|1959-09-15|669629117389|adults_50up_female_urban.json
694-87-8485|4150321985961|Victor|Yates|M|025 Randy Mews|Knoxville|TN|37921|35.9793|-84.003|391389|Scientist, research (physical sciences)|1981-12-13|701818213113|adults_2550_male_urban.json
786-05-6608|4347671499863282|Kevin|Ramsey|M|038 Lopez Drive|Newnan|GA|30265|33.3958|-84.7121|84721|Psychotherapist, child|1940-11-01|186320550327|adults_50up_male_urban.json
106-42-5775|3537439639949599|Dylan|Harris|M|4656 Gonzalez Mountains Apt. 873|Salida|CA|95368|37.7083|-121.0864|13614|Ambulance person|1955-03-12|163438861717|adults_50up_male_urban.json
017-85-2400|3536632567322349|Tamara|Hayes|F|166 Laura Prairie|Pleasant Grove|UT|84062|40.372|-111.7333|43269|Community pharmacist|1958-02-05|661568352238|adults_50up_female_urban.json
310-71-8510|6507326447893789|Heather|Cox|F|76090 Tyler Mall Suite 581|Kansas City|KS|66102|39.1132|-94.6693|150224|Administrator, education|1973-05-08|383478577932|adults_50up_female_urban.json
835-32-4455|6594473387805284|Tony|Johnson|M|6518 Scott Union Suite 771|Manchester|CT|06042|41.7966|-72.5292|58248|Therapist, horticultural|1977-09-12|595942395760|adults_2550_male_urban.json
243-57-4481|4509685938066|Brooke|Morris|F|08996 Long Rest|Haines City|FL|33844|28.0758|-81.5929|33804|Diagnostic radiographer|1981-02-04|327372248562|adults_2550_female_urban.json
367-33-8658|6521215603871089|Joshua|Clark|M|9466 Rebecca Radial Apt. 376|Corona|CA|92882|33.8419|-117.6043|233717|Futures trader|1998-11-25|302543063056|adults_2550_male_urban.json
441-95-9550|5361221503965588|Rachel|Mckinney|F|900 Martinez Pike|Westmoreland|NH|03467|42.969|-72.4358|1842|Town planner|1972-08-21|237175012852|adults_50up_female_rural.json
382-17-8910|6501385500295734|Richard|Smith|M|24571 Rhonda Points|Mandan|ND|58554|46.8306|-100.9092|22884|Automotive engineer|1979-05-16|821991314818|adults_2550_male_urban.json
828-12-9794|4365055191939687186|Jeffrey|Keller|M|0804 Carla Ford|Myrtle Beach|SC|29588|33.7226|-78.9782|119080|Designer, textile|1979-04-03|918054471764|adults_2550_male_urban.json
733-47-0283|30196129332136|Douglas|Gomez|M|94003 Salas Cliffs|Palo Alto|CA|94303|37.4673|-122.1388|92558|Public affairs consultant|1969-01-01|397267409707|adults_50up_male_urban.json
570-45-6314|4480661126203066|Kevin|Greer|M|5712 David Meadows|Orrville|AL|36767|32.2949|-87.2214|2012|Art therapist|1963-10-07|707945740293|adults_50up_male_rural.json
556-11-1990|4399330255987929|Amy|French|F|45968 Megan Prairie|Greenville|SC|29609|34.8921|-82.4002|201862|Naval architect|2003-02-27|118683973183|young_adults_female_urban.json
782-52-8972|575052112035|Rebecca|Smith|F|4180 Scott Underpass|Louisville|KY|40222|38.2674|-85.6237|736284|Optometrist|1944-06-02|46556736005|adults_50up_female_urban.json
719-10-8185|2250834695449509|Robert|Smith|M|062 Baker Locks Suite 983|Destrehan|LA|70047|29.9642|-90.3682|13006|Water engineer|1992-05-30|599739260924|adults_2550_male_urban.json
586-84-0666|30429414290499|Ian|Spears|M|2538 Gibson Terrace Suite 919|Wauchula|FL|33873|27.5517|-81.8074|14742|Location manager|1954-11-08|48083237338|adults_50up_male_urban.json
401-37-8117|4174685902629765|Angela|Blake|F|86603 Carlson Crossroad Suite 689|Bellevue|WA|98006|47.5614|-122.1552|131324|Passenger transport manager|1973-04-04|715039542214|adults_50up_female_urban.json
128-51-6056|6011774021572312|Mitchell|Hernandez|M|2352 Carey Loaf|Burlington|NC|27217|36.1288|-79.4114|75761|Analytical chemist|1968-07-25|571233603869|adults_50up_male_urban.json
764-67-5062|3517215052053539|Randall|Lopez|M|456 Mark Village|Youngstown|OH|44515|41.0979|-80.7598|163222|Youth worker|1996-12-03|314520178213|adults_2550_male_urban.json
153-32-2449|4091294431414086|Tammy|Washington|F|3779 Hannah Hollow|New York City|NY|10032|40.8382|-73.942|1577385|Armed forces technical officer|1948-08-03|166457148181|adults_50up_female_urban.json
118-55-8699|4137998181009625|Scott|Martin|M|7896 Erin Lake Suite 745|Keeseville|NY|12944|44.4999|-73.4745|4274|Conference centre manager|2008-04-16|233719284787|young_adults_male_urban.json
308-65-8564|213137254422531|Erin|Jones|F|828 Mark Gateway Suite 553|Johnstown|NY|12095|43.0069|-74.3715|12606|Surveyor, building|1976-11-23|578687644293|adults_2550_female_urban.json
524-61-2603|577676660829|Joshua|Booker|M|8712 Connie Island Apt. 136|Houston|TX|77067|29.9547|-95.4522|2906700|Surveyor, building control|1996-05-09|662970755521|adults_2550_male_urban.json
106-48-2233|6011107414430105|Robert|Miller|M|2996 Gomez Mountain Suite 433|Puyallup|WA|98372|47.2042|-122.2734|129412|Broadcast presenter|1964-06-14|874434550321|adults_50up_male_urban.json
871-62-1585|2283334972969700|Anna|Brady|F|434 Greene Parks|Medway|OH|45341|39.8789|-84.0218|3883|Medical sales representative|1961-10-31|784857568871|adults_50up_female_urban.json
718-46-9037|3518881786021594|Kevin|Porter|M|76382 Leach Prairie Apt. 331|Herrin|IL|62948|37.8019|-89.0232|12865|Designer, multimedia|1984-06-19|202582350788|adults_2550_male_urban.json
892-78-5268|4704731483687477742|Abigail|Smith|F|6560 Emily Mission Suite 228|Pittsburgh|PA|15232|40.4525|-79.9319|687276|Designer, fashion/clothing|1962-10-18|949703796464|adults_50up_female_urban.json
807-88-8828|4938682784726436|Kyle|Gonzalez|M|5969 Eileen Camp|Camdenton|MO|65020|38.0185|-92.7677|14286|Operational investment banker|1945-02-27|723276300910|adults_50up_male_urban.json
034-35-8898|341234435849818|Ashley|Meyer|F|5124 David Well Suite 378|Grantham|PA|17027|40.158|-76.9964|2141|Chartered management accountant|1978-07-05|830963814178|adults_2550_female_rural.json
315-72-3695|6581165955859421|Angel|Wright|F|36365 Thompson Locks|Ocala|FL|34472|29.1253|-82.0086|207224|Psychologist, clinical|1991-08-23|573067477865|adults_2550_female_urban.json
488-63-5999|3558613417491958|Connie|Cervantes|F|842 Buchanan Walk|San Bernardino|CA|92408|34.0831|-117.2711|236660|Conservator, furniture|1992-10-01|219867916896|adults_2550_female_urban.json
622-02-8029|6011500111391549|Joseph|Smith|M|36479 Katherine Green Apt. 108|Denver|CO|80219|39.6956|-105.0341|990452|Nurse, mental health|1953-09-05|876591008826|adults_50up_male_urban.json
796-33-7542|3549915738067991|James|Estrada|M|2096 Brandon Falls Apt. 726|Chandler|AZ|85224|33.3301|-111.8632|255641|Industrial/product designer|1993-01-30|739695249227|adults_2550_male_urban.json
059-47-8339|6524597155793275|Julie|Wilson|F|9177 Colleen Falls Suite 096|Spokane|WA|99207|47.6977|-117.3746|342856|Rural practice surveyor|1973-11-25|448138312381|adults_50up_female_urban.json
566-89-8783|4108597358679437|Tiffany|Moon|F|4702 Gonzalez Overpass Suite 765|Melrose Park|IL|60164|41.9214|-87.8924|47480|Therapist, music|1996-04-19|886454226363|adults_2550_female_urban.json
754-43-8491|36694947155345|Sarah|Meadows|F|024 Kim Garden Suite 729|Saint Louis|MO|63115|38.6756|-90.2385|927396|Accountant, chartered public finance|1971-12-22|796970515922|adults_50up_female_urban.json
696-96-8589|3553945037548071|Joseph|Brooks|M|85693 Jennifer Crest|Los Angeles|CA|90001|33.9731|-118.2479|2383912|Firefighter|1954-04-14|658878399031|adults_50up_male_urban.json
311-95-8600|060440737306|Tracy|Hutchinson|F|0632 Roberson Island|Wilmington|DE|19807|39.7949|-75.6161|215619|Civil engineer, contracting|1980-12-02|880665389849|adults_2550_female_urban.json
418-47-8463|4963346746469|Scott|Reese|M|27399 Baker Isle|Kernersville|NC|27284|36.1165|-80.0831|51136|Therapist, music|1992-10-20|859623258611|adults_2550_male_urban.json
726-98-9431|4010276078195164841|Kevin|Murray|M|83306 Joseph Forge Suite 754|San Jose|CA|95127|37.3692|-121.8208|973849|Public librarian|1951-10-29|650808255064|adults_50up_male_urban.json
876-44-0376|346027068756705|John|Fields|M|92361 Ashley Crossroad|Raymond|MS|39154|32.1961|-90.4753|10526|Emergency planning/management officer|1994-02-27|508919197228|adults_2550_male_urban.json
373-77-9638|180013376870585|Richard|Smith|M|65106 Williams Camp|Duluth|MN|55803|46.8749|-92.0941|116688|Programme researcher, broadcasting/film/video|1979-08-17|225604797859|adults_2550_male_urban.json
698-83-4938|30483034857369|Tara|Murphy|F|044 Timothy Passage Apt. 903|New York City|NY|10022|40.7571|-73.9657|1577385|Commercial/residential surveyor|1995-04-20|497644423050|adults_2550_female_urban.json
890-65-4012|4431678598444085|Kristina|Armstrong|F|930 Wendy Road Apt. 756|Umatilla|FL|32784|28.9254|-81.6801|11432|Accountant, chartered public finance|1956-11-07|785312185688|adults_50up_female_urban.json
159-55-0887|2282302999663300|Tina|Carson|F|56540 Anthony Ranch|Bayside|NY|11360|40.7807|-73.7812|47490|Therapist, horticultural|1977-08-24|880972264738|adults_2550_female_urban.json
282-08-2950|4320129531850040|Bethany|Miller|F|068 Lindsey Centers|Kinsman|OH|44428|41.4354|-80.5765|3290|Illustrator|2008-01-07|960046933663|young_adults_female_urban.json
801-89-0534|3505484738577972|Stacey|Matthews|F|5538 Nicholas Corner|Wilmington|DE|19801|39.7378|-75.5497|215619|Social worker|1981-03-26|533249455902|adults_2550_female_urban.json
881-87-3077|213164295185257|Holly|Owens|F|815 Vargas Gardens Apt. 819|Pensacola|FL|32503|30.4564|-87.2104|254917|Pharmacologist|1983-12-11|801990356136|adults_2550_female_urban.json
337-39-4290|3561504884915089|Kenneth|Pena|M|4035 Scott Vista Suite 955|Emeryville|CA|94608|37.8365|-122.2804|28019|Management consultant|1953-02-11|767086890200|adults_50up_male_urban.json
378-43-8329|213108227754771|Mark|Peck|M|9254 David Passage Suite 249|Jonesboro|AR|72401|35.833|-90.6965|77249|Fish farm manager|1996-02-26|654907468821|adults_2550_male_urban.json
631-05-0279|30045594849670|Stephanie|Weeks|F|6239 French Shoals|Sierra Vista|AZ|85635|31.5365|-110.2666|50006|Records manager|1965-12-28|168008008937|adults_50up_female_urban.json
373-76-3621|342767490641223|Katherine|Frazier|F|3145 Heather Flats Suite 170|Oxon Hill|MD|20745|38.8108|-76.9898|28451|Banker|1976-03-23|310693574050|adults_2550_female_urban.json
345-72-3943|4595562168335766804|Justin|Casey|M|49108 Malone Center Suite 317|Utica|MI|48316|42.6885|-83.0548|78577|Chartered management accountant|1958-05-27|748740055157|adults_50up_male_urban.json
573-42-2600|2717933686093164|Andrew|Johnston|M|010 Watson Track Apt. 911|Fairfield|CA|94534|38.2423|-122.1314|105693|Clinical cytogeneticist|1980-01-17|925004632845|adults_2550_male_urban.json
178-06-2651|6500933396379020|Susan|Wade|F|878 Sherry Circles|Oklahoma City|OK|73115|35.4449|-97.446|640470|Surveyor, minerals|1986-12-17|676596058453|adults_2550_female_urban.json
541-39-4643|30167663420835|Edwin|Lyons|M|2664 Ramirez Stream|Brooklyn|NY|11209|40.6251|-74.0303|2504700|Passenger transport manager|1962-03-10|301966068464|adults_50up_male_urban.json
264-60-9156|4796637958181|Kara|Summers|F|9924 Fox Shore Apt. 446|El Paso|TX|79907|31.7089|-106.3293|749635|Travel agency manager|1997-01-07|626176895138|adults_2550_female_urban.json
721-43-4085|2275664239402693|Peter|Bradford|M|9666 Susan Crossing Apt. 292|Poughkeepsie|NY|12601|41.7035|-73.9117|86794|Financial manager|1973-12-23|848964663517|adults_50up_male_urban.json
646-83-2235|4872203733784061383|Jennifer|Gillespie|F|8304 Murphy Lights Suite 765|Winnfield|LA|71483|31.9214|-92.6366|11294|Psychiatrist|1955-02-11|423064653971|adults_50up_female_urban.json
694-01-0887|371267644943637|Carol|Johnson|F|46534 Thompson Circle Suite 218|Mcdonough|GA|30252|33.4768|-84.055|90808|Plant breeder/geneticist|1964-02-09|276780907385|adults_50up_female_urban.json
733-13-6041|4351919850565134|Courtney|Koch|F|81432 Jenna Parkway Suite 663|Charlotte|NC|28210|35.1316|-80.8577|790689|Electronics engineer|2002-07-06|540539709254|young_adults_female_urban.json
606-89-0781|4338106089170052290|Angela|Adams|F|496 Montgomery Brooks Suite 270|Hyde Park|NY|12538|41.7887|-73.9063|14578|Education administrator|1993-11-07|675818890108|adults_2550_female_urban.json
440-13-1853|4583040775130610926|Steven|Good|M|8974 Lara Flats|Chicago|IL|60634|41.9463|-87.8061|2680484|Psychiatric nurse|1950-02-09|309711084227|adults_50up_male_urban.json
245-20-0717|4192743126665602336|James|Strong|M|8062 Chavez Isle Suite 267|Shelby|NC|28152|35.2689|-81.5337|52833|Corporate treasurer|1993-03-18|59675338223|adults_2550_male_urban.json
248-52-7751|3527510056870690|April|Ford|F|21816 Kane Rapid|Aliso Viejo|CA|92656|33.5701|-117.7086|49046|Engineer, electrical|1978-12-12|201048247731|adults_2550_female_urban.json
374-25-9411|4054849516573|Robert|Kemp|M|21830 Joseph Locks Suite 685|Monroe|MI|48162|41.9293|-83.4448|55814|Lawyer|1977-03-13|123433990996|adults_2550_male_urban.json
026-19-0566|4154880510933465332|Veronica|Harris|F|57543 Haynes Center|Chicago|IL|60623|41.849|-87.7157|2680484|Accountant, chartered|1997-07-07|900129105106|adults_2550_female_urban.json
289-16-6646|4770217047012592832|Scott|Knapp|M|78568 Shawn Rapids Suite 505|Hatboro|PA|19040|40.1785|-75.1072|20536|Trade mark attorney|1982-05-20|541571297367|adults_2550_male_urban.json
706-73-3916|639010559164|Lisa|Kelley|F|179 Wanda Lane|Laredo|TX|78040|27.5155|-99.4986|248858|Holiday representative|1961-01-21|548225015190|adults_50up_female_urban.json
532-78-4223|3506545259357074|Sarah|Mooney|F|94620 Medina Rue Suite 622|Wichita|KS|67213|37.668|-97.3591|409656|Production assistant, television|1942-12-13|636130438520|adults_50up_female_urban.json
839-21-6729|639026118682|Scott|Smith|M|93609 Brittany Vista|Bolingbrook|IL|60440|41.6976|-88.0873|73374|Teacher, music|1993-07-06|893368179125|adults_2550_male_urban.json
069-84-7658|501832762808|Gregory|Anthony|M|7701 Lambert Mountain Apt. 682|Olney Springs|CO|81062|38.2019|-103.941|2439|Chiropodist|1991-11-28|618927040522|adults_2550_male_rural.json
438-83-9829|6560773595691925|Brittany|Gomez|F|56397 Cross Tunnel|Sugar Land|TX|77498|29.6396|-95.65|149159|Travel agency manager|1965-06-05|387297421971|adults_50up_female_urban.json
050-64-5848|2374867358182174|Monica|Baker|F|7793 Boyer Ridges Suite 843|Nashua|NH|03062|42.7235|-71.4893|86494|Software engineer|1986-07-11|409032054714|adults_2550_female_urban.json
619-75-9671|30125201930640|Jeffery|Lane|M|7191 Hayden Ports|Rice Lake|WI|54868|45.5197|-91.8266|15512|Energy engineer|1984-02-25|404632385958|adults_2550_male_urban.json
695-05-3488|4387830568287531|David|Cameron|M|2029 Rowe Overpass|Hatfield|AR|71945|34.4877|-94.3714|1437|Forensic scientist|1964-02-17|556112599500|adults_50up_male_rural.json
117-24-9151|4993451739222939|Angela|Newman|F|0394 Brooks Trace Apt. 557|Camp Hill|PA|17011|40.2352|-76.9291|34586|Research officer, trade union|1976-03-19|531393843189|adults_2550_female_urban.json
081-59-4926|4243453538110|Michael|Simpson|M|272 Christine Passage|Glendale|CA|91204|34.1379|-118.2599|172817|Animal nutritionist|1959-02-21|866436950528|adults_50up_male_urban.json
390-76-6114|30562943391683|James|Serrano|M|88550 Armstrong Groves Apt. 944|Woodhaven|NY|11421|40.6913|-73.8585|39127|Claims inspector/assessor|1977-05-26|863548028567|adults_2550_male_urban.json
017-39-2391|38493549210188|Rebecca|Wagner|F|913 Kathryn Wall Apt. 575|Virginia Beach|VA|23462|36.8392|-76.1522|437994|Engineer, materials|1981-04-18|337278066768|adults_2550_female_urban.json
650-10-1651|2277034756016425|James|Turner|M|4620 Suzanne Village Apt. 546|Gurnee|IL|60031|42.3669|-87.9452|37947|Writer|1951-02-08|767550148858|adults_50up_male_urban.json
148-85-4096|3507173434660954|Roy|Green|M|060 Sara Pine|Charlotte|NC|28214|35.2731|-80.9571|790689|Camera operator|1995-10-08|485552372171|adults_2550_male_urban.json
793-46-1776|6011521412022419|Katherine|Ross|F|095 King Village Apt. 854|Webster|NY|14580|43.2196|-77.4616|50587|Community development worker|1947-09-02|237046739713|adults_50up_female_urban.json
202-56-6424|342859156581791|Brett|Brooks|M|290 Thompson Unions Suite 922|Pikeville|KY|41501|37.5161|-82.5173|23298|Chartered certified accountant|1965-12-08|643448119963|adults_50up_male_urban.json
659-88-1682|4299948141401382|Tonya|Steele|F|939 Justin Extension Suite 520|Newport|OR|97365|44.6487|-124.0509|10744|Community arts worker|1973-12-14|179653536711|adults_50up_female_urban.json
111-58-4948|503809844692|Veronica|Palmer|F|5948 Hannah Drive Suite 291|Central Islip|NY|11722|40.7866|-73.1961|35177|Firefighter|1940-01-14|423750382552|adults_50up_female_urban.json
685-42-9940|2344915321801136|Amy|Edwards|F|15682 Keith Plains|Olive Branch|MS|38654|34.9441|-89.8544|45956|Fitness centre manager|1994-07-21|789990884705|adults_2550_female_urban.json
745-17-2418|3562671320253422|David|Coleman|M|7604 Christine Street|Conway|AR|72032|35.0842|-92.4236|77242|Engineer, civil (consulting)|1991-06-02|728688939835|adults_2550_male_urban.json
770-69-8086|4674087721075244|Ryan|Williams|M|05109 Levy Drive|Florence|KY|41042|38.9941|-84.642|49968|Herpetologist|1930-01-28|510234722289|adults_50up_male_urban.json
353-36-2996|6541689392763986|Emma|Lopez|F|289 Rebecca Rue|Denton|TX|76209|33.2346|-97.1131|139552|Engineer, agricultural|1972-09-05|738606583966|adults_50up_female_urban.json
171-59-9000|4807042357318996|Jacob|Young|M|699 Emily Run|Olean|NY|14760|42.0821|-78.426|18775|Engineer, aeronautical|1950-04-26|271951953964|adults_50up_male_urban.json
725-60-0935|347077508849494|Lisa|Sparks|F|57686 Martinez Cliffs Apt. 805|Detroit|MI|48227|42.3883|-83.1937|673342|Technical sales engineer|1992-08-19|78848740392|adults_2550_female_urban.json
800-33-9052|4422595513305915410|Kevin|Clark|M|10967 Cooper Spring Apt. 636|Philadelphia|PA|19149|40.0369|-75.0664|1526206|Market researcher|1955-10-13|664578047788|adults_50up_male_urban.json
874-43-0499|4737223426787032383|Brian|Black|M|89935 Leonard Streets Suite 211|Atlanta|GA|30345|33.8513|-84.287|900273|Designer, television/film set|1932-05-01|822233846916|adults_50up_male_urban.json
596-55-4001|30311493310887|James|Dickson|M|5940 Jimmy Place|Villa Rica|GA|30180|33.7173|-84.9297|34274|Chief of Staff|1995-10-16|882656286651|adults_2550_male_urban.json
250-91-6841|4100218241408170282|Dennis|Henderson|M|878 May Roads Apt. 214|Oxnard|CA|93033|34.1685|-119.1717|211523|Tax inspector|1977-08-20|629670476580|adults_2550_male_urban.json
883-02-3435|4043474334421060|Isaiah|Harrell|M|6010 Rodriguez Crossing|Atoka|OK|74525|34.3445|-96.1418|10112|Farm manager|1953-04-09|400876047441|adults_50up_male_urban.json
764-59-9359|4072239567217618988|Todd|Spencer|M|6775 Jeff Neck Suite 123|Fall River|MA|02721|41.6883|-71.1574|88252|Training and development officer|1967-05-13|92500903069|adults_50up_male_urban.json
588-29-7479|4048730451945586|Jennifer|Hicks|F|734 Amanda Spur|Brooklyn|NY|11208|40.6762|-73.8736|2504700|Airline pilot|1966-02-19|639840522418|adults_50up_female_urban.json
413-40-0657|4575859391853|Cynthia|Myers|F|54493 Brandy Mission|Saint Ann|MO|63074|38.7259|-90.3864|15164|Ceramics designer|1996-05-13|621371267311|adults_2550_female_urban.json
258-04-6727|4670207153780|Matthew|Lopez|M|5535 Campbell Trace Apt. 789|El Paso|TX|79907|31.7089|-106.3293|749635|Patent attorney|1986-10-04|513059753008|adults_2550_male_urban.json
516-68-8816|3521007204094717|William|Casey|M|1757 Patricia Harbors Apt. 048|Olympia|WA|98501|47.0129|-122.8763|167094|Physiotherapist|1997-10-08|530036995599|adults_2550_male_urban.json
535-54-4213|4624470498671101871|John|Smith|M|57044 Kristi Burgs|Juneau|AK|99801|58.3628|-134.5294|29164|Psychologist, educational|1966-10-13|147078036662|adults_50up_male_urban.json
861-49-6933|180049030438179|Jeremy|Larson|M|6924 Johnson Walk|Castlewood|VA|24224|36.8764|-82.2876|6734|Secretary, company|1984-06-24|112189751193|adults_2550_male_urban.json
197-08-1528|180043231456510|Jordan|Martinez|M|9170 John Garden Suite 432|Corte Madera|CA|94925|37.9223|-122.5132|9253|Manufacturing systems engineer|1970-02-20|420427044650|adults_50up_male_urban.json
481-38-0465|3536251231154119|Ashley|Huff|F|206 Tracy Gateway|Toms River|NJ|08757|39.9715|-74.2512|122197|Operational investment banker|2003-03-24|642740203292|young_adults_female_urban.json
055-05-5907|4144267353842564|Barbara|Wall|F|599 Nelson Divide|Havertown|PA|19083|39.9774|-75.3106|35878|Patent attorney|1944-12-09|772201216207|adults_50up_female_urban.json
547-36-5398|347582682950810|Derrick|Salazar|M|23235 Watkins Views Suite 803|Henderson|NC|27537|36.36|-78.3906|41608|Lecturer, further education|1971-11-25|712431544838|adults_50up_male_urban.json
521-67-0496|347507819735446|Susan|Howard|F|777 King Tunnel Suite 964|Brooklyn|NY|11228|40.6174|-74.0121|2504700|Theatre manager|1978-10-31|35413216676|adults_2550_female_urban.json
438-37-0867|630406988265|Edward|Hamilton|M|5377 Kristen Via Suite 460|Soso|MS|39480|31.7594|-89.3082|2770|Television floor manager|1950-06-01|150756254840|adults_50up_male_urban.json
023-33-0400|30254539601606|Kenneth|Frey|M|47079 Randy Dale|Sumter|SC|29150|33.9137|-80.3542|83799|Media planner|1941-02-16|875712718106|adults_50up_male_urban.json
724-62-4861|4603250394399|Jordan|Schmidt|M|78952 Ronald Turnpike Suite 949|Highland|CA|92346|34.1565|-117.1403|54923|Patent examiner|1969-07-18|290880563009|adults_50up_male_urban.json
818-40-9905|3595781273174276|Nicholas|Rice|M|40239 Phillip Shores|Arlington|MA|02476|42.4162|-71.1752|42844|Conservation officer, nature|2001-06-09|427245294932|young_adults_male_urban.json
473-53-4434|3540465511286383|Bobby|Martinez|M|0228 Benjamin Trail|Jacksonville|FL|32223|30.1548|-81.63|847415|Horticulturist, amenity|2007-06-26|698701718941|young_adults_male_urban.json
